loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), BaroAlt (cm), gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], debug[0], debug[1], debug[2], debug[3], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 8184933,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, -1,   0,  -2,   1, -11,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
  1, 8185982,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -1,  -2,   1, -10,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
  2, 8186983,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -2,  -3,   1, -10,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
  3, 8187985,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -2,  -3,   1, -10,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
  4, 8188990,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -3,  -3,   0, -10,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
  5, 8190014,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -3,  -3,   0, -10,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
  6, 8191014,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -3,  -2,  -1, -10,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
  7, 8192023,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -3,  -2,  -1, -10,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
  8, 8193024,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -2,  -2,  -1, -10,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
  9, 8194026,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -2,  -2,  -1, -10,   1, 2033,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
 10, 8195026,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -1,  -1,   0, -10,   1, 2034,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
 11, 8196028,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,  -1,   0,   1, -10,   1, 2034,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
 12, 8197030,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,   0,   0,   2, -10,   1, 2034,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
 13, 8198037,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,   0,   0,   2, -10,   1, 2034,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
 14, 8199037,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,   1,   1,   2, -10,   1, 2034,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
 15, 8200039,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,   1,   1,   2, -10,   1, 2034,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
 16, 8201041,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,   1,   1,   2, -10,   1, 2034,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
 17, 8202043,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,   1,   1,   2, -10,   1, 2034,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
 18, 8203048,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1035, 0.000, 0,   1,   1,   2, -10,   1, 2034,   0,   0,   0,   0, 1000, 1000, 1000, 1000, 0, SMALL_ANGLE, IDLE, 1, 1
