Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,0,0m 0s,41.58314415,-109.29515841,P-GPS,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,5,0,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.4,-0.4,-47.6,312.4,1684,364,1024,364,364,,,,,
2,0.2,0m 0.2s,41.58314418,-109.29515838,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,5,0,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.4,-0.4,-47.6,312.4,1684,364,1024,364,364,,,,,
3,0.3,0m 0.3s,41.58314416,-109.29515837,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,5,0,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.4,-0.4,-47.6,312.4,1684,364,1024,364,364,,,,,
4,0.4,0m 0.4s,41.58314416,-109.29515837,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,5,0,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.5,-0.4,-47.6,312.4,1684,364,1024,561,364,,,,,
5,0.5,0m 0.5s,41.58314418,-109.29515838,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,5,0,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.5,-47.6,312.4,1024,1024,1024,1024,1024,,,,,
6,0.6,0m 0.6s,41.58314419,-109.29515839,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,5,0,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.5,-47.6,312.4,1024,1024,1024,1024,1024,,,,,
7,0.7,0m 0.7s,41.5831442,-109.29515839,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,5,0,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.6,312.4,1024,1024,1024,1024,1024,,,,,
8,0.8,0m 0.8s,41.58314422,-109.29515838,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,5,0,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.6,312.4,1024,1024,1024,1024,1024,,,,,
9,0.9,0m 0.9s,41.58314426,-109.29515836,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,5,0,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.6,312.4,1024,1024,1024,1024,1024,,,,,
10,1,0m 1s,41.58314429,-109.29515834,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.5,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
